unitid,institution
102234,Spring Hill College
117946,Loyola Marymount University
122612,University of San Francisco
122931,Santa Clara University
127918,Regis University
129242,Fairfield University
131496,Georgetown University
146719,Loyola University Chicago
159656,Loyola University New Orleans
163046,Loyola University Maryland
164924,Boston College
166124,College of the Holy Cross
169716,University of Detroit Mercy
179043,Rockhurst University
179159,Saint Louis University
181002,Creighton University
186432,Saint Peter's University
189705,Canisius University
191241,Fordham University
192323,Le Moyne College
203368,John Carroll University
206622,Xavier University
215929,University of Scranton
235316,Gonzaga University
236595,Seattle University
239105,Marquette University
