unitid,conference,match_method
100654,Southwestern Athletic Conference,override
100663,American Conference,exact_norm
100706,Gulf South Conference,exact_norm
100724,Southwestern Athletic Conference,exact_norm
100751,Southeastern Conference,exact_norm
100830,Gulf South Conference,exact_norm
100858,Southeastern Conference,exact_norm
101189,Southern States Athletic Conference,exact_norm
101435,Collegiate Conference of the South,exact_norm
101480,Conference USA,exact_norm
101587,Gulf South Conference,exact_norm
101675,Southern Intercollegiate Athletic Conference,exact_norm
101693,Southern States Athletic Conference,exact_norm
101709,Gulf South Conference,exact_norm
101879,Atlantic Sun Conference,exact_norm
101912,HBCU Athletic Conference,exact_norm
102049,Southern Conference,exact_norm
102094,Sun Belt Conference,exact_norm
102234,Southern Intercollegiate Athletic Conference,exact_norm
102270,HBCU Athletic Conference,exact_norm
102298,HBCU Athletic Conference,exact_norm
102368,Sun Belt Conference,exact_norm
102377,Southern Intercollegiate Athletic Conference,exact_norm
102553,Great Northwest Athletic Conference,exact_norm
102614,Great Northwest Athletic Conference,exact_norm
104151,Big 12 Conference,override
104179,Big 12 Conference,exact_norm
104586,Great Southwest Athletic Conference,exact_norm
104717,Mountain West Conference,exact_norm
105330,Big Sky Conference,exact_norm
105899,Great Southwest Athletic Conference,exact_norm
106245,Ohio Valley Conference,exact_norm
106306,Continental Athletic Conference,exact_norm
106342,St. Louis Intercollegiate Athletic Conference,exact_norm
106397,Southeastern Conference,exact_norm
106412,Southwestern Athletic Conference,exact_norm
106458,Sun Belt Conference,exact_norm
106467,Great American Conference,exact_norm
106485,Great American Conference,exact_norm
106704,Atlantic Sun Conference,exact_norm
106713,American Midwest Conference,exact_norm
106810,American Midwest Conference,exact_norm
107044,Great American Conference,exact_norm
107071,Great American Conference,exact_norm
107080,Southern Collegiate Athletic Conference,exact_norm
107141,Sooner Athletic Conference,exact_norm
107512,Great American Conference,exact_norm
107558,Southern Collegiate Athletic Conference,exact_norm
107600,HBCU Athletic Conference,exact_norm
107877,American Midwest Conference,exact_norm
107983,Great American Conference,exact_norm
108092,Mid-America Intercollegiate Athletics Association,exact_norm
109785,Pacific West Conference,exact_norm
110097,Pacific West Conference,exact_norm
110361,Western Athletic Conference,exact_norm
110404,Southern California Intercollegiate Athletic Conference,exact_norm
110413,Southern California Intercollegiate Athletic Conference,exact_norm
110422,Big West Conference,exact_norm
110486,Big West Conference,exact_norm
110495,California Collegiate Athletic Association,exact_norm
110510,California Collegiate Athletic Association,exact_norm
110529,California Collegiate Athletic Association,exact_norm
110538,California Collegiate Athletic Association,exact_norm
110547,California Collegiate Athletic Association,exact_norm
110556,Mountain West Conference,exact_norm
110565,Big West Conference,exact_norm
110574,California Collegiate Athletic Association,exact_norm
110583,Big West Conference,exact_norm
110592,California Collegiate Athletic Association,exact_norm
110608,Big West Conference,exact_norm
110617,Big Sky Conference,exact_norm
110635,Atlantic Coast Conference,exact_norm
110644,Big West Conference,exact_norm
110653,Big West Conference,exact_norm
110662,Big Ten Conference,exact_norm
110671,Big West Conference,exact_norm
110680,Big West Conference,exact_norm
110705,Big West Conference,exact_norm
110714,Coast to Coast Athletic Conference,exact_norm
111948,Southern California Intercollegiate Athletic Conference,exact_norm
112075,Pacific West Conference,exact_norm
113698,Pacific West Conference,exact_norm
114813,Pacific West Conference,exact_norm
115755,California Collegiate Athletic Association,exact_norm
117104,Great Southwest Athletic Conference,exact_norm
117140,Southern California Intercollegiate Athletic Conference,exact_norm
117627,Great Southwest Athletic Conference,exact_norm
117946,West Coast Conference,exact_norm
120254,Southern California Intercollegiate Athletic Conference,exact_norm
120537,Great Southwest Athletic Conference,exact_norm
120865,California Pacific Conference,exact_norm
120883,West Coast Conference,exact_norm
121150,West Coast Conference,exact_norm
121309,Pacific West Conference,exact_norm
121691,Southern California Intercollegiate Athletic Conference,exact_norm
122409,Mountain West Conference,exact_norm
122436,West Coast Conference,exact_norm
122597,California Collegiate Athletic Association,exact_norm
122612,West Coast Conference,exact_norm
122755,Mountain West Conference,exact_norm
122931,West Coast Conference,exact_norm
123457,California Pacific Conference,exact_norm
123554,West Coast Conference,exact_norm
123961,Big Ten Conference,exact_norm
125727,Pacific West Conference,exact_norm
125763,Southern California Intercollegiate Athletic Conference,exact_norm
126182,Rocky Mountain Athletic Conference,exact_norm
126580,Rocky Mountain Athletic Conference,exact_norm
126614,Big 12 Conference,exact_norm
126669,Rocky Mountain Athletic Conference,exact_norm
126678,Southern Collegiate Athletic Conference,exact_norm
126775,Rocky Mountain Athletic Conference,exact_norm
126818,Mountain West Conference,exact_norm
127060,Summit League,exact_norm
127185,Rocky Mountain Athletic Conference,exact_norm
127556,Rocky Mountain Athletic Conference,exact_norm
127565,Rocky Mountain Athletic Conference,exact_norm
127741,Big Sky Conference,exact_norm
127918,Rocky Mountain Athletic Conference,exact_norm
128106,Rocky Mountain Athletic Conference,exact_norm
128391,Rocky Mountain Athletic Conference,exact_norm
128498,Great Northeast Athletic Conference,exact_norm
128744,Central Atlantic Collegiate Conference,exact_norm
128771,NEC,exact_norm
128902,New England Small College Athletic Conference,exact_norm
129020,Big East Conference,exact_norm
129215,Little East Conference,exact_norm
129242,Metro Atlantic Athletic Conference,exact_norm
129525,Conference of New England,exact_norm
129774,Great Northeast Athletic Conference,exact_norm
130183,Central Atlantic Collegiate Conference,exact_norm
130226,Metro Atlantic Athletic Conference,exact_norm
130253,Metro Atlantic Athletic Conference,exact_norm
130314,Great Northeast Athletic Conference,exact_norm
130493,Northeast-10 Conference,exact_norm
130590,New England Small College Athletic Conference,exact_norm
130697,New England Small College Athletic Conference,exact_norm
130776,Little East Conference,exact_norm
130794,Ivy League,exact_norm
130934,Mid-Eastern Athletic Conference,exact_norm
130943,Conference USA,exact_norm
130989,Central Atlantic Collegiate Conference,exact_norm
131113,Central Atlantic Collegiate Conference,exact_norm
131159,Patriot League,exact_norm
131283,Landmark Conference,exact_norm
131399,East Coast Conference,exact_norm
131450,United East Conference,exact_norm
131469,Atlantic 10 Conference,exact_norm
131496,Big East Conference,exact_norm
131520,Mid-Eastern Athletic Conference,exact_norm
131876,Independent,exact_norm
132471,Sunshine State Conference,exact_norm
132602,Southwestern Athletic Conference,exact_norm
132657,Sunshine State Conference,exact_norm
132903,Big 12 Conference,exact_norm
133492,Sunshine State Conference,exact_norm
133526,Southern Intercollegiate Athletic Conference,exact_norm
133650,Southwestern Athletic Conference,exact_norm
133669,American Conference,exact_norm
133711,Peach Belt Conference,exact_norm
133809,Continental Athletic Conference,exact_norm
133881,Sunshine State Conference,exact_norm
