division,wiki_school,conference,unitid,eada_name,method,rank
D-I,State University of Iowa,Big Ten Conference,,,no_match,99.0
D-I,State University of New York at Albany,America East Conference,,,no_match,99.0
D-I,State University of New York at Buffalo,Mid-American Conference,,,no_match,99.0
D-I,State University of New York at Stony Brook,Coastal Athletic Association,,,no_match,99.0
D-I,Texas A&M University,Southeastern Conference,,,no_match,99.0
D-I,The College of William and Mary in Virginia,Coastal Athletic Association,,,no_match,99.0
D-I,The University of Vermont and State Agricultural College,America East Conference,,,no_match,99.0
D-I,United States Air Force Academy,Mountain West Conference,,,explicit_skip,99.0
D-I,United States Military Academy,Patriot League,,,explicit_skip,99.0
D-I,United States Naval Academy,Patriot League,,,explicit_skip,99.0
D-I,University of Hawaiʻi at Mānoa,Big West Conference,,,no_match,99.0
D-I,"University of Maryland, College Park",Big Ten Conference,,,no_match,99.0
D-I,University of Missouri–Columbia,Southeastern Conference,,,no_match,99.0
D-I,University of Notre Dame du Lac,Atlantic Coast Conference,,,no_match,99.0
D-I,University of Saint Thomas,Summit League,,,"ambiguous:['University of St Thomas', 'University of St Thomas']",99.0
D-I,William Marsh Rice University,American Conference,,,no_match,99.0
D-II,Anderson University,South Atlantic Conference,,,"ambiguous:['Anderson University', 'Anderson University']",99.0
D-II,PennWest California,Pennsylvania State Athletic Conference,,,no_match,99.0
D-II,PennWest Clarion,Pennsylvania State Athletic Conference,,,no_match,99.0
D-II,Commonwealth University-Bloomsburg,Pennsylvania State Athletic Conference,,,no_match,99.0
D-II,Commonwealth University-Lock Haven,Pennsylvania State Athletic Conference,,,no_match,99.0
D-II,Commonwealth University-Mansfield,Pennsylvania State Athletic Conference,,,no_match,99.0
D-II,East Stroudsburg University,Pennsylvania State Athletic Conference,,,no_match,99.0
D-II,PennWest Edinboro,Pennsylvania State Athletic Conference,,,no_match,99.0
D-II,Embry-Riddle Aeronautical University,Sunshine State Conference,,,no_match,99.0
D-II,Hillsdale College,Great Midwest Athletic Conference,,,no_match,99.0
D-II,Jessup University,Pacific West Conference,,,no_match,99.0
D-II,Kutztown University,Pennsylvania State Athletic Conference,,,no_match,99.0
D-II,Lincoln University (MO),Great Lakes Valley Conference,,,no_match,99.0
D-II,Lincoln University (PA),Central Intercollegiate Athletic Association,,,no_match,99.0
D-II,Maryville University,Great Lakes Valley Conference,,,no_match,99.0
D-II,Millersville University,Pennsylvania State Athletic Conference,,,no_match,99.0
D-II,Morehouse College,Southern Intercollegiate Athletic Conference,,,no_match,99.0
D-II,Queens College,East Coast Conference,,,no_match,99.0
D-II,Shippensburg University,Pennsylvania State Athletic Conference,,,no_match,99.0
D-II,Slippery Rock University,Pennsylvania State Athletic Conference,,,no_match,99.0
D-II,College of Staten Island,East Coast Conference,,,no_match,99.0
D-II,Vanguard University,Pacific West Conference,,,no_match,99.0
D-II,West Chester University,Pennsylvania State Athletic Conference,,,no_match,99.0
D-III,Agnes Scott College,Collegiate Conference of the South,,,no_match,99.0
D-III,Alfred State College,Allegheny Mountain Collegiate Conference,,,no_match,99.0
D-III,Anderson University,Heartland Collegiate Athletic Conference,,,"ambiguous:['Anderson University', 'Anderson University']",99.0
D-III,Baruch College,City University of New York Athletic Conference,,,no_match,99.0
D-III,Bethany College,Presidents' Athletic Conference,,,"ambiguous:['Bethany College', 'Bethany College']",99.0
D-III,Bethel University,Minnesota Intercollegiate Athletic Conference,,,"ambiguous:['Bethel University', 'Bethel University', 'Bethel University']",99.0
D-III,Brooklyn College,City University of New York Athletic Conference,,,no_match,99.0
D-III,Bryn Mawr College,Centennial Conference,,,no_match,99.0
D-III,Buffalo State University,State University of New York Athletic Conference,,,no_match,99.0
D-III,Cairn University,United East Conference,,,no_match,99.0
D-III,City College of New York,City University of New York Athletic Conference,,,no_match,99.0
D-III,"Claremont McKenna College, Harvey Mudd College, and Scripps College",Southern California Intercollegiate Athletic Conference,,,no_match,99.0
D-III,Concordia College,Minnesota Intercollegiate Athletic Conference,,,no_match,99.0
D-III,Edgewood University,Northern Athletics Collegiate Conference,,,no_match,99.0
D-III,Elms College,Great Northeast Athletic Conference,,,no_match,99.0
D-III,"Fairleigh Dickinson University, Florham",MAC Freedom,,,no_match,99.0
D-III,Grove City College,Presidents' Athletic Conference,,,no_match,99.0
D-III,Hampden–Sydney College,Old Dominion Athletic Conference,,,no_match,99.0
D-III,Hobart College,Liberty League,,,no_match,99.0
D-III,Hollins University,Old Dominion Athletic Conference,,,no_match,99.0
D-III,Hunter College,City University of New York Athletic Conference,,,no_match,99.0
D-III,John Jay College of Criminal Justice,City University of New York Athletic Conference,,,no_match,99.0
D-III,Johnson & Wales University,Conference of New England,,,no_match,99.0
D-III,Lehman College,City University of New York Athletic Conference,,,no_match,99.0
D-III,Marian University,Northern Athletics Collegiate Conference,,,"ambiguous:['Marian University', 'Marian University']",99.0
D-III,Medgar Evers College,City University of New York Athletic Conference,,,no_match,99.0
D-III,Meredith College,USA South Athletic Conference,,,no_match,99.0
D-III,Mount Holyoke College,New England Women's and Men's Athletic Conference,,,no_match,99.0
D-III,State University of New York at Brockport,Empire 8,,,no_match,99.0
D-III,State University of New York at Canton,State University of New York Athletic Conference,,,no_match,99.0
D-III,State University of New York at Cobleskill,North Atlantic Conference,,,no_match,99.0
D-III,State University of New York at Delhi,North Atlantic Conference,,,no_match,99.0
D-III,State University of New York at Fredonia,State University of New York Athletic Conference,,,no_match,99.0
D-III,State University of New York at Geneseo,Empire 8,,,no_match,99.0
D-III,State University of New York Maritime College,Skyline Conference,,,no_match,99.0
D-III,State University of New York at Morrisville,State University of New York Athletic Conference,,,no_match,99.0
D-III,State University of New York Polytechnic Institute,Empire 8,,,no_match,99.0
D-III,State University of New York at Old Westbury,Skyline Conference,,,no_match,99.0
D-III,State University of New York at Oneonta,State University of New York Athletic Conference,,,no_match,99.0
D-III,State University of New York at Potsdam,State University of New York Athletic Conference,,,no_match,99.0
D-III,State University of New York at Purchase,Skyline Conference,,,no_match,99.0
D-III,"Pennsylvania State University, Abington",United East Conference,,,no_match,99.0
D-III,"Pennsylvania State University, Altoona",Allegheny Mountain Collegiate Conference,,,no_match,99.0
D-III,"Pennsylvania State University, Berks College",United East Conference,,,no_match,99.0
D-III,"Pennsylvania State University, Behrend",Allegheny Mountain Collegiate Conference,,,no_match,99.0
D-III,"Pennsylvania State University, Brandywine",United East Conference,,,no_match,99.0
D-III,"Pennsylvania State University, Harrisburg",United East Conference,,,no_match,99.0
D-III,Pomona College and Pitzer College,Southern California Intercollegiate Athletic Conference,,,no_match,99.0
D-III,Pratt Institute,Atlantic East Conference,,,no_match,99.0
D-III,Ramapo College,New Jersey Athletic Conference,,,no_match,99.0
D-III,College of Saint Benedict,Minnesota Intercollegiate Athletic Conference,,,no_match,99.0
D-III,Saint Mary's College,Michigan Intercollegiate Athletic Association,,,no_match,99.0
D-III,University of St. Thomas (Texas),Southern Collegiate Athletic Conference,,,no_match,99.0
D-III,Salem College,USA South Athletic Conference,,,no_match,99.0
D-III,Simmons University,Great Northeast Athletic Conference,,,no_match,99.0
D-III,Smith College,New England Women's and Men's Athletic Conference,,,no_match,99.0
D-III,Sweet Briar College,Old Dominion Athletic Conference,,,no_match,99.0
