rank,name,state,type
1,Massachusetts Institute of Technology,MA,Private not-for-profit
2,Columbia University,NY,Private not-for-profit
3,Princeton University,NJ,Private not-for-profit
4,Stanford University,CA,Private not-for-profit
5,"University of California, Berkeley",CA,Public
6,Harvard University,MA,Private not-for-profit
7,Williams College,MA,Private not-for-profit
8,Johns Hopkins University,MD,Private not-for-profit
9,Yale University,CT,Private not-for-profit
10,University of Pennsylvania,PA,Private not-for-profit
11,Vanderbilt University,TN,Private not-for-profit
12,Rice University,TX,Private not-for-profit
13,University of Chicago,IL,Private not-for-profit
14,Cornell University,NY,Private not-for-profit
15,"University of California, Los Angeles",CA,Public
16,Northwestern University,IL,Private not-for-profit
17,Dartmouth College,NH,Private not-for-profit
18,Brown University,RI,Private not-for-profit
19,Amherst College,MA,Private not-for-profit
20,"University of California, San Diego",CA,Public
21,"University of Michigan, Ann Arbor",MI,Public
22,Duke University,NC,Private not-for-profit
23,Swarthmore College,PA,Private not-for-profit
24,California Institute of Technology,CA,Private not-for-profit
25,Washington University in St. Louis,MO,Private not-for-profit
26,Claremont McKenna College,CA,Private not-for-profit
27,Emory University,GA,Private not-for-profit
28,University of Southern California,CA,Private not-for-profit
29,Wellesley College,MA,Private not-for-profit
30,University of Florida,FL,Public
31,"University of California, Irvine",CA,Public
32,Georgia Institute of Technology,GA,Public
33,University of Notre Dame,IN,Private not-for-profit
34,University of Virginia,VA,Public
35,"University of North Carolina, Chapel Hill",NC,Public
36,Pomona College,CA,Private not-for-profit
37,"University of Maryland, College Park",MD,Public
38,"University of Illinois, Urbana-Champaign",IL,Public
39,Bowdoin College,ME,Private not-for-profit
40,Brigham Young University,UT,Private not-for-profit
41,Georgetown University,DC,Private not-for-profit
42,"University of California, Santa Barbara",CA,Public
43,Carnegie Mellon University,PA,Private not-for-profit
44,"University of California, Davis",CA,Public
45,Boston University,MA,Private not-for-profit
46,"University of Texas, Austin",TX,Public
47,Washington and Lee University,VA,Private not-for-profit
48,Colgate University,NY,Private not-for-profit
49,New York University,NY,Private not-for-profit
50,"University of Washington, Seattle",WA,Public
51,Wesleyan University,CT,Private not-for-profit
52,Middlebury College,VT,Private not-for-profit
53,"University of Wisconsin, Madison",WI,Public
54,Boston College,MA,Private not-for-profit
55,"California Polytechnic State University, San Luis Obispo",CA,Public
56,Haverford College,PA,Private not-for-profit
57,University of Georgia,GA,Public
58,Tufts University,MA,Private not-for-profit
59,Davidson College,NC,Private not-for-profit
60,William & Mary,VA,Public
61,"Texas A&M University, College Station",TX,Public
62,Purdue University,IN,Public
63,"University of California, Santa Cruz",CA,Public
64,Lehigh University,PA,Private not-for-profit
65,Santa Clara University,CA,Private not-for-profit
66,"North Carolina State University, Raleigh",NC,Public
67,George Washington University,DC,Private not-for-profit
68,"Binghamton University, SUNY",NY,Public
