"unitid","value","year","metric","var_type"
100654,90,2020,"acceptance_rate","raw"
100654,17.5,2020,"act_mid50","computed"
100654,9855,2020,"application_volume","raw"
100654,72,2020,"pct_submitting_act","raw"
100654,1,2020,"pct_submitting_sat","raw"
100654,930,2020,"sat_mid50","computed"
100654,-6,2020,"yield_men_vs_women","computed"
100654,19,2020,"yield_rate","raw"
100654,72,2021,"acceptance_rate","raw"
100654,17.5,2021,"act_mid50","computed"
100654,6560,2021,"application_volume","raw"
100654,63,2021,"pct_submitting_act","raw"
100654,19,2021,"pct_submitting_sat","raw"
100654,935,2021,"sat_mid50","computed"
100654,-11,2021,"yield_men_vs_women","computed"
100654,33,2021,"yield_rate","raw"
100654,68,2022,"acceptance_rate","raw"
100654,17,2022,"act_mid50","computed"
100654,8907,2022,"application_volume","raw"
100654,1,2022,"pct_submitting_act","raw"
100654,69,2022,"pct_submitting_sat","raw"
100654,920,2022,"sat_mid50","computed"
100654,-11,2022,"yield_men_vs_women","computed"
100654,28,2022,"yield_rate","raw"
100654,66,2023,"acceptance_rate","raw"
100654,17,2023,"act_mid50","computed"
100654,15628,2023,"application_volume","raw"
100654,67,2023,"pct_submitting_act","raw"
100654,24,2023,"pct_submitting_sat","raw"
100654,940,2023,"sat_mid50","computed"
100654,-6,2023,"yield_men_vs_women","computed"
100654,19,2023,"yield_rate","raw"
100654,58,2024,"acceptance_rate","raw"
100654,17,2024,"act_mid50","computed"
100654,23406,2024,"application_volume","raw"
100654,67,2024,"pct_submitting_act","raw"
100654,27,2024,"pct_submitting_sat","raw"
100654,910,2024,"sat_mid50","computed"
100654,-5,2024,"yield_men_vs_women","computed"
100654,15,2024,"yield_rate","raw"
100663,81,2020,"acceptance_rate","raw"
100663,26,2020,"act_mid50","computed"
100663,10391,2020,"application_volume","raw"
100663,98,2020,"pct_submitting_act","raw"
100663,14,2020,"pct_submitting_sat","raw"
100663,29,2020,"pct_top10_hs","external"
100663,1209,2020,"sat_mid50","computed"
100663,1,2020,"yield_men_vs_women","computed"
100663,26,2020,"yield_rate","raw"
100663,89,2021,"acceptance_rate","raw"
100663,26.5,2021,"act_mid50","computed"
100663,11906,2021,"application_volume","raw"
100663,65,2021,"pct_submitting_act","raw"
100663,7,2021,"pct_submitting_sat","raw"
100663,30,2021,"pct_top10_hs","external"
100663,1280.5,2021,"sat_mid50","computed"
100663,-2,2021,"yield_men_vs_women","computed"
100663,23,2021,"yield_rate","raw"
100663,87,2022,"acceptance_rate","raw"
100663,27,2022,"act_mid50","computed"
100663,9947,2022,"application_volume","raw"
100663,49,2022,"pct_submitting_act","raw"
100663,7,2022,"pct_submitting_sat","raw"
100663,24,2022,"pct_top10_hs","external"
100663,1300,2022,"sat_mid50","computed"
100663,-1,2022,"yield_men_vs_women","computed"
100663,26,2022,"yield_rate","raw"
100663,88,2023,"acceptance_rate","raw"
100663,26,2023,"act_mid50","computed"
100663,10919,2023,"application_volume","raw"
100663,49,2023,"pct_submitting_act","raw"
100663,5,2023,"pct_submitting_sat","raw"
100663,24,2023,"pct_top10_hs","external"
100663,1260,2023,"sat_mid50","computed"
100663,1,2023,"yield_men_vs_women","computed"
100663,22,2023,"yield_rate","raw"
100663,88,2024,"acceptance_rate","raw"
100663,26,2024,"act_mid50","computed"
100663,11379,2024,"application_volume","raw"
100663,43,2024,"pct_submitting_act","raw"
100663,4,2024,"pct_submitting_sat","raw"
100663,24,2024,"pct_top10_hs","external"
100663,1340,2024,"sat_mid50","computed"
100663,2,2024,"yield_men_vs_women","computed"
100663,20,2024,"yield_rate","raw"
100706,77,2020,"acceptance_rate","raw"
100706,27.5,2020,"act_mid50","computed"
100706,5793,2020,"application_volume","raw"
100706,93,2020,"pct_submitting_act","raw"
100706,7,2020,"pct_submitting_sat","raw"
100706,33,2020,"pct_top10_hs","external"
100706,1300,2020,"sat_mid50","computed"
100706,-9,2020,"yield_men_vs_women","computed"
100706,30,2020,"yield_rate","raw"
100706,74,2021,"acceptance_rate","raw"
100706,27.5,2021,"act_mid50","computed"
100706,5781,2021,"application_volume","raw"
100706,92,2021,"pct_submitting_act","raw"
100706,5,2021,"pct_submitting_sat","raw"
100706,34,2021,"pct_top10_hs","external"
100706,1295,2021,"sat_mid50","computed"
100706,-12,2021,"yield_men_vs_women","computed"
100706,28,2021,"yield_rate","raw"
100706,78,2022,"acceptance_rate","raw"
100706,26,2022,"act_mid50","computed"
100706,5581,2022,"application_volume","raw"
100706,55,2022,"pct_submitting_act","raw"
100706,6,2022,"pct_submitting_sat","raw"
100706,26,2022,"pct_top10_hs","external"
100706,1335,2022,"sat_mid50","computed"
100706,-11,2022,"yield_men_vs_women","computed"
100706,27,2022,"yield_rate","raw"
100706,74,2023,"acceptance_rate","raw"
100706,28,2023,"act_mid50","computed"
100706,6074,2023,"application_volume","raw"
100706,58,2023,"pct_submitting_act","raw"
100706,6,2023,"pct_submitting_sat","raw"
100706,31,2023,"pct_top10_hs","external"
100706,1330,2023,"sat_mid50","computed"
100706,-13,2023,"yield_men_vs_women","computed"
100706,26,2023,"yield_rate","raw"
100706,69,2024,"acceptance_rate","raw"
100706,28,2024,"act_mid50","computed"
100706,7630,2024,"application_volume","raw"
100706,56,2024,"pct_submitting_act","raw"
100706,5,2024,"pct_submitting_sat","raw"
100706,26,2024,"pct_top10_hs","external"
100706,1310,2024,"sat_mid50","computed"
100706,-8,2024,"yield_men_vs_women","computed"
100706,23,2024,"yield_rate","raw"
100724,99,2020,"acceptance_rate","raw"
100724,17,2020,"act_mid50","computed"
100724,7027,2020,"application_volume","raw"
100724,71,2020,"pct_submitting_act","raw"
100724,30,2020,"pct_submitting_sat","raw"
100724,8,2020,"pct_top10_hs","external"
100724,946.5,2020,"sat_mid50","computed"
100724,-3,2020,"yield_men_vs_women","computed"
100724,14,2020,"yield_rate","raw"
100724,98,2021,"acceptance_rate","raw"
100724,17.5,2021,"act_mid50","computed"
100724,5974,2021,"application_volume","raw"
100724,35,2021,"pct_submitting_act","raw"
100724,15,2021,"pct_submitting_sat","raw"
100724,10,2021,"pct_top10_hs","external"
100724,944.5,2021,"sat_mid50","computed"
100724,-4,2021,"yield_men_vs_women","computed"
100724,15,2021,"yield_rate","raw"
100724,97,2022,"acceptance_rate","raw"
100724,18,2022,"act_mid50","computed"
100724,6731,2022,"application_volume","raw"
100724,29,2022,"pct_submitting_act","raw"
100724,18,2022,"pct_submitting_sat","raw"
100724,10,2022,"pct_top10_hs","external"
100724,935,2022,"sat_mid50","computed"
100724,-5,2022,"yield_men_vs_women","computed"
100724,15,2022,"yield_rate","raw"
100724,96,2023,"acceptance_rate","raw"
100724,18,2023,"act_mid50","computed"
100724,5346,2023,"application_volume","raw"
100724,33,2023,"pct_submitting_act","raw"
100724,9,2023,"pct_submitting_sat","raw"
100724,10,2023,"pct_top10_hs","external"
100724,966,2023,"sat_mid50","computed"
100724,-3,2023,"yield_men_vs_women","computed"
100724,19,2023,"yield_rate","raw"
100724,98,2024,"acceptance_rate","raw"
100724,18,2024,"act_mid50","computed"
100724,7229,2024,"application_volume","raw"
100724,34,2024,"pct_submitting_act","raw"
100724,1,2024,"pct_submitting_sat","raw"
100724,10,2024,"pct_top10_hs","external"
100724,858,2024,"sat_mid50","computed"
100724,-1,2024,"yield_men_vs_women","computed"
100724,15,2024,"yield_rate","raw"
100751,80,2020,"acceptance_rate","raw"
100751,27,2020,"act_mid50","computed"
100751,39560,2020,"application_volume","raw"
100751,77,2020,"pct_submitting_act","raw"
100751,23,2020,"pct_submitting_sat","raw"
100751,45,2020,"pct_top10_hs","external"
100751,1200,2020,"sat_mid50","computed"
100751,-4,2020,"yield_men_vs_women","computed"
100751,20,2020,"yield_rate","raw"
100751,79,2021,"acceptance_rate","raw"
100751,26,2021,"act_mid50","computed"
100751,42421,2021,"application_volume","raw"
100751,63,2021,"pct_submitting_act","raw"
100751,17,2021,"pct_submitting_sat","raw"
100751,41,2021,"pct_top10_hs","external"
100751,1220,2021,"sat_mid50","computed"
