"metric","category","display_name","source","ipeds_table_or_formula","use_type","comparison_scope","format","neche_peer_set","neche_dashboard","coverage_note","notes"
"pct_athletes_overall","athletics","Athletes as % of full-time UG enrollment","eada_derived","total_athletes_undup / EFTotalCount (EADA's full-time UG headcount)","clustering","cross_category","percentage",FALSE,TRUE,"Ranges from ~1% at large D-I publics to >40% at small D-III LACs. HC (D-I, Patriot League) has unusually high participation for a D-I school: ~23% of UG enrollment.",NA
"total_varsity_sports","athletics","Total varsity sports","eada_derived","mens_varsity_sports + womens_varsity_sports","clustering","cross_category","count",FALSE,FALSE,"Breadth of program.",NA
"multi_sport_ratio","athletics","Multi-sport athlete ratio","eada_derived","(IL_SUM_PARTIC_MEN + IL_SUM_PARTIC_WOMEN) / total_athletes_undup","clustering","cross_category","ratio",FALSE,FALSE,"Average sports per athlete. LACs run 1.20-1.35 (lots of two-sport athletes); D-I near 1.00.",NA
"mens_varsity_sports","athletics","Men's varsity sports","eada_derived","count of sports in EADA schools.xlsx where PARTIC_MEN > 0","descriptive","cross_category","count",FALSE,FALSE,"EADA 2024-25; ~2,037 schools filed. Single-sex institutions, service academies, and schools without intercollegiate athletics are missing.",NA
"womens_varsity_sports","athletics","Women's varsity sports","eada_derived","count of sports in EADA schools.xlsx where PARTIC_WOMEN > 0","descriptive","cross_category","count",FALSE,FALSE,"Same as above.",NA
"male_athletes_undup","athletics","Male athletes (unduplicated)","eada","EADA instLevel.UNDUP_CT_PARTIC_MEN","descriptive","cross_category","count",FALSE,FALSE,"Unduplicated headcount: multi-sport athletes counted once.",NA
"female_athletes_undup","athletics","Female athletes (unduplicated)","eada","EADA instLevel.UNDUP_CT_PARTIC_WOMEN","descriptive","cross_category","count",FALSE,FALSE,"Unduplicated headcount: multi-sport athletes counted once.",NA
"total_athletes_undup","athletics","Total athletes (unduplicated)","eada_derived","male_athletes_undup + female_athletes_undup","descriptive","cross_category","count",FALSE,FALSE,"Use this in any 'athletes / enrollment' calculation.",NA
"pct_male_athletes","athletics","Male athletes as % of male full-time UG","eada_derived","male_athletes_undup / EFMaleCount","descriptive","cross_category","percentage",FALSE,FALSE,"EADA's gender-specific UG denominator.",NA
"pct_female_athletes","athletics","Female athletes as % of female full-time UG","eada_derived","female_athletes_undup / EFFemaleCount","descriptive","cross_category","percentage",FALSE,FALSE,"EADA's gender-specific UG denominator.",NA
"athletics_division_numeric","athletics","Athletics division (ordinal numeric)","schools.csv derived","D1=3, D2/NAIA=2, D3=1, Other=NA — derived in compute_peers from athletics_division","clustering","cross_category","ratio",FALSE,FALSE,"Ordinal encoding of NCAA/NAIA division as a numeric similarity dimension","Synthetic clustering variable — computed inline in compute_peers, not from facts CSV. Higher value = higher level of athletics competition."
