"unitid","value","year","metric","var_type"
100654,1535,2020,"first_time_enrollment","raw"
100654,5249,2020,"full_time_enrollment","raw"
100654,5,2020,"pct_age_25plus","raw"
100654,0,2020,"pct_aian","raw"
100654,0,2020,"pct_asian","raw"
100654,89,2020,"pct_bipoc","computed"
100654,86,2020,"pct_black","raw"
100654,14.7900284423624,2020,"pct_graduate","computed"
100654,1,2020,"pct_hispanic","raw"
100654,1,2020,"pct_international","raw"
100654,0,2020,"pct_nhpi","raw"
100654,12.180023423122,2020,"pct_part_time","computed"
100654,8,2020,"pct_race_unknown","raw"
100654,1,2020,"pct_two_or_more","raw"
100654,85.2099715576376,2020,"pct_undergrad","computed"
100654,2,2020,"pct_white","raw"
100654,5977,2020,"total_enrollment","raw"
100654,174,2020,"transfer_in_enrollment","raw"
100654,5093,2020,"undergraduate_enrollment","raw"
100654,1477,2021,"first_time_enrollment","raw"
100654,5064,2021,"full_time_enrollment","raw"
100654,6,2021,"pct_age_25plus","raw"
100654,0,2021,"pct_aian","raw"
100654,0,2021,"pct_asian","raw"
100654,88,2021,"pct_bipoc","computed"
100654,85,2021,"pct_black","raw"
100654,14.4412799463897,2021,"pct_graduate","computed"
100654,1,2021,"pct_hispanic","raw"
100654,1,2021,"pct_international","raw"
100654,0,2021,"pct_nhpi","raw"
100654,15.1616686212096,2021,"pct_part_time","computed"
100654,9,2021,"pct_race_unknown","raw"
100654,1,2021,"pct_two_or_more","raw"
100654,85.5587200536103,2021,"pct_undergrad","computed"
100654,2,2021,"pct_white","raw"
100654,52,2021,"residential_share","external"
100654,5969,2021,"total_enrollment","raw"
100654,207,2021,"transfer_in_enrollment","raw"
100654,5107,2021,"undergraduate_enrollment","raw"
100654,1557,2022,"first_time_enrollment","raw"
100654,5262,2022,"full_time_enrollment","raw"
100654,NA,2022,"pct_age_25plus","raw"
100654,0,2022,"pct_aian","raw"
100654,0,2022,"pct_asian","raw"
100654,88,2022,"pct_bipoc","computed"
100654,86,2022,"pct_black","raw"
100654,13.3344431496587,2022,"pct_graduate","computed"
100654,1,2022,"pct_hispanic","raw"
100654,2,2022,"pct_international","raw"
100654,0,2022,"pct_nhpi","raw"
100654,12.4021974363243,2022,"pct_part_time","computed"
100654,8,2022,"pct_race_unknown","raw"
100654,1,2022,"pct_two_or_more","raw"
100654,86.6655568503413,2022,"pct_undergrad","computed"
100654,2,2022,"pct_white","raw"
100654,6007,2022,"total_enrollment","raw"
100654,209,2022,"transfer_in_enrollment","raw"
100654,5206,2022,"undergraduate_enrollment","raw"
100654,1990,2023,"first_time_enrollment","raw"
100654,5660,2023,"full_time_enrollment","raw"
100654,7,2023,"pct_age_25plus","raw"
100654,0,2023,"pct_aian","raw"
100654,0,2023,"pct_asian","raw"
100654,89,2023,"pct_bipoc","computed"
100654,86,2023,"pct_black","raw"
100654,11.6268521318415,2023,"pct_graduate","computed"
100654,1,2023,"pct_hispanic","raw"
100654,3,2023,"pct_international","raw"
100654,0,2023,"pct_nhpi","raw"
100654,14.4239491986695,2023,"pct_part_time","computed"
100654,6,2023,"pct_race_unknown","raw"
100654,2,2023,"pct_two_or_more","raw"
100654,88.3731478681585,2023,"pct_undergrad","computed"
100654,2,2023,"pct_white","raw"
100654,6614,2023,"total_enrollment","raw"
100654,280,2023,"transfer_in_enrollment","raw"
100654,5845,2023,"undergraduate_enrollment","raw"
100654,1968,2024,"first_time_enrollment","raw"
100654,6291,2024,"full_time_enrollment","raw"
100654,23553,2024,"median_family_income","external"
100654,NA,2024,"pct_age_25plus","raw"
100654,0,2024,"pct_aian","raw"
100654,0,2024,"pct_asian","raw"
100654,92,2024,"pct_bipoc","computed"
100654,87,2024,"pct_black","raw"
100654,36.58280922,2024,"pct_first_generation","external"
100654,12.6799177518849,2024,"pct_graduate","computed"
100654,2,2024,"pct_hispanic","raw"
100654,3,2024,"pct_international","raw"
100654,0,2024,"pct_nhpi","raw"
100654,13.7628512679918,2024,"pct_part_time","computed"
100654,3,2024,"pct_race_unknown","raw"
100654,2,2024,"pct_two_or_more","raw"
100654,87.3200822481151,2024,"pct_undergrad","computed"
100654,2,2024,"pct_white","raw"
100654,65,2024,"residential_share","external"
100654,7295,2024,"total_enrollment","raw"
100654,225,2024,"transfer_in_enrollment","raw"
100654,6370,2024,"undergraduate_enrollment","raw"
100663,2154,2020,"first_time_enrollment","raw"
100663,14880,2020,"full_time_enrollment","raw"
100663,19,2020,"pct_age_25plus","raw"
100663,0,2020,"pct_aian","raw"
100663,6,2020,"pct_asian","raw"
100663,36,2020,"pct_bipoc","computed"
100663,21,2020,"pct_black","raw"
100663,38.4922217790187,2020,"pct_graduate","computed"
100663,5,2020,"pct_hispanic","raw"
100663,5,2020,"pct_international","raw"
100663,0,2020,"pct_nhpi","raw"
100663,34.051322962372,2020,"pct_part_time","computed"
100663,2,2020,"pct_race_unknown","raw"
100663,4,2020,"pct_two_or_more","raw"
100663,61.5077782209813,2020,"pct_undergrad","computed"
100663,57,2020,"pct_white","raw"
100663,19,2020,"residential_share","external"
100663,22563,2020,"total_enrollment","raw"
100663,1377,2020,"transfer_in_enrollment","raw"
100663,13878,2020,"undergraduate_enrollment","raw"
100663,2415,2021,"first_time_enrollment","raw"
100663,14926,2021,"full_time_enrollment","raw"
100663,18,2021,"pct_age_25plus","raw"
100663,0,2021,"pct_aian","raw"
100663,7,2021,"pct_asian","raw"
100663,37,2021,"pct_bipoc","computed"
100663,21,2021,"pct_black","raw"
100663,39.221140472879,2021,"pct_graduate","computed"
100663,5,2021,"pct_hispanic","raw"
100663,5,2021,"pct_international","raw"
100663,0,2021,"pct_nhpi","raw"
