"unitid","value","year","metric","var_type"
100654,1167,2020,"academic_support_per_fte","raw"
100654,69510.9057377049,2020,"avg_ft_faculty_salary","computed"
100654,27031.6296564195,2020,"core_expenses_per_fte","computed"
100654,4836,2020,"instruction_per_fte","raw"
100654,20,2020,"instructional_share","raw"
100654,1250.78499095841,2020,"operating_margin_ex_inv_return_per_fte","computed"
100654,10024,2020,"published_tuition_fees","raw"
100654,19.0689655172414,2020,"student_faculty_ratio","computed"
100654,4425,2020,"student_services_per_fte","raw"
100654,54.5454545454545,2020,"tenure_track_share","computed"
100654,29.9685964293172,2020,"tuition_share_of_expenses","computed"
100654,1579,2021,"academic_support_per_fte","raw"
100654,79271.1262135922,2021,"avg_ft_faculty_salary","computed"
100654,38005.4270679468,2021,"core_expenses_per_fte","computed"
100654,7699,2021,"instruction_per_fte","raw"
100654,20,2021,"instructional_share","raw"
100654,20185.7261816839,2021,"operating_margin_ex_inv_return_per_fte","computed"
100654,10024,2021,"published_tuition_fees","raw"
100654,22.5666666666667,2021,"student_faculty_ratio","computed"
100654,5911,2021,"student_services_per_fte","raw"
100654,59.6153846153846,2021,"tenure_track_share","computed"
100654,24.3202108569263,2021,"tuition_share_of_expenses","computed"
100654,1257,2022,"academic_support_per_fte","raw"
100654,78632.5550847458,2022,"avg_ft_faculty_salary","computed"
100654,35622.1740854208,2022,"core_expenses_per_fte","computed"
100654,7073,2022,"instruction_per_fte","raw"
100654,18,2022,"instructional_share","raw"
100654,-1841.43323121283,2022,"operating_margin_ex_inv_return_per_fte","computed"
100654,10024,2022,"published_tuition_fees","raw"
100654,18.8101694915254,2022,"student_faculty_ratio","computed"
100654,11147,2022,"student_services_per_fte","raw"
100654,46.1240310077519,2022,"tenure_track_share","computed"
100654,29.9616749230592,2022,"tuition_share_of_expenses","computed"
100654,1724,2023,"academic_support_per_fte","raw"
100654,78231.0409836066,2023,"avg_ft_faculty_salary","computed"
100654,31553.5854750456,2023,"core_expenses_per_fte","computed"
100654,6298,2023,"instruction_per_fte","raw"
100654,17,2023,"instructional_share","raw"
100654,1755.05670701376,2023,"operating_margin_ex_inv_return_per_fte","computed"
100654,10024,2023,"published_tuition_fees","raw"
100654,19.8388157894737,2023,"student_faculty_ratio","computed"
100654,5800,2023,"student_services_per_fte","raw"
100654,42.4812030075188,2023,"tenure_track_share","computed"
100654,31.7269807829518,2023,"tuition_share_of_expenses","computed"
100654,1737,2024,"academic_support_per_fte","raw"
100654,79040.1795918367,2024,"avg_ft_faculty_salary","computed"
100654,32273.9673799192,2024,"core_expenses_per_fte","computed"
100654,11459.6666666667,2024,"herd_avg","external"
100654,7254,2024,"instruction_per_fte","raw"
100654,19,2024,"instructional_share","raw"
100654,-2861.64541074368,2024,"operating_margin_ex_inv_return_per_fte","computed"
100654,10024,2024,"published_tuition_fees","raw"
100654,20.9715379546239,2024,"student_faculty_ratio","computed"
100654,4303,2024,"student_services_per_fte","raw"
100654,38.0073800738007,2024,"tenure_track_share","computed"
100654,23.9480938584854,2024,"tuition_share_of_expenses","computed"
100663,8504,2020,"academic_support_per_fte","raw"
100663,119873.969525959,2020,"avg_ft_faculty_salary","computed"
100663,75546.9078297012,2020,"core_expenses_per_fte","computed"
100663,0.349690023839914,2020,"endowment_coverage_years","computed"
100663,26418,2020,"endowment_per_fte","raw"
100663,14691,2020,"instruction_per_fte","raw"
100663,22,2020,"instructional_share","raw"
100663,30322.3176814199,2020,"net_assets_per_fte","computed"
100663,-1155.8631768142,2020,"operating_margin_ex_inv_return_per_fte","computed"
100663,8568,2020,"published_tuition_fees","raw"
100663,6.63832960477256,2020,"student_faculty_ratio","computed"
100663,2005,2020,"student_services_per_fte","raw"
100663,55.3066037735849,2020,"tenure_track_share","computed"
100663,15.8656394342691,2020,"tuition_share_of_expenses","computed"
100663,7753,2021,"academic_support_per_fte","raw"
100663,121998.610503282,2021,"avg_ft_faculty_salary","computed"
100663,83543.7298685176,2021,"core_expenses_per_fte","computed"
100663,0.408528564067158,2021,"endowment_coverage_years","computed"
100663,34130,2021,"endowment_per_fte","raw"
100663,14264,2021,"instruction_per_fte","raw"
100663,20,2021,"instructional_share","raw"
100663,40156.6956718018,2021,"net_assets_per_fte","computed"
100663,-3170.42479995486,2021,"operating_margin_ex_inv_return_per_fte","computed"
100663,8568,2021,"published_tuition_fees","raw"
100663,6.44634412513641,2021,"student_faculty_ratio","computed"
100663,1910,2021,"student_services_per_fte","raw"
100663,54.7445255474453,2021,"tenure_track_share","computed"
100663,13.9783081487731,2021,"tuition_share_of_expenses","computed"
100663,9962,2022,"academic_support_per_fte","raw"
100663,124777.417197452,2022,"avg_ft_faculty_salary","computed"
100663,84773.5823087432,2022,"core_expenses_per_fte","computed"
100663,0.384140897589996,2022,"endowment_coverage_years","computed"
100663,32565,2022,"endowment_per_fte","raw"
100663,15256,2022,"instruction_per_fte","raw"
100663,21,2022,"instructional_share","raw"
100663,38326.5124089253,2022,"net_assets_per_fte","computed"
100663,-2127.35806693989,2022,"operating_margin_ex_inv_return_per_fte","computed"
100663,8832,2022,"published_tuition_fees","raw"
100663,6.22316684378321,2022,"student_faculty_ratio","computed"
100663,1946,2022,"student_services_per_fte","raw"
100663,54.3991014601273,2022,"tenure_track_share","computed"
100663,13.6233478466662,2022,"tuition_share_of_expenses","computed"
100663,11185,2023,"academic_support_per_fte","raw"
100663,129085.095487933,2023,"avg_ft_faculty_salary","computed"
100663,100520.139986059,2023,"core_expenses_per_fte","computed"
100663,0.36114155834875,2023,"endowment_coverage_years","computed"
100663,36302,2023,"endowment_per_fte","raw"
100663,17179,2023,"instruction_per_fte","raw"
100663,20,2023,"instructional_share","raw"
100663,42946.8467704461,2023,"net_assets_per_fte","computed"
100663,-2224.21204228624,2023,"operating_margin_ex_inv_return_per_fte","computed"
100663,8832,2023,"published_tuition_fees","raw"
100663,5.92429456297316,2023,"student_faculty_ratio","computed"
100663,2652,2023,"student_services_per_fte","raw"
100663,53.7010159651669,2023,"tenure_track_share","computed"
100663,11.9896371032426,2023,"tuition_share_of_expenses","computed"
100663,12729,2024,"academic_support_per_fte","raw"
100663,133535.247390397,2024,"avg_ft_faculty_salary","computed"
100663,105647.414386377,2024,"core_expenses_per_fte","computed"
100663,0.40816900489673,2024,"endowment_coverage_years","computed"
100663,43122,2024,"endowment_per_fte","raw"
100663,712763,2024,"herd_avg","external"
100663,17855,2024,"instruction_per_fte","raw"
100663,20,2024,"instructional_share","raw"
100663,50439.7657662948,2024,"net_assets_per_fte","computed"
100663,-12378.9049747504,2024,"operating_margin_ex_inv_return_per_fte","computed"
100663,9098,2024,"published_tuition_fees","raw"
100663,5.83752952185731,2024,"student_faculty_ratio","computed"
100663,2734,2024,"student_services_per_fte","raw"
100663,53.8461538461538,2024,"tenure_track_share","computed"
100663,11.6633237751902,2024,"tuition_share_of_expenses","computed"
100690,1073,2020,"academic_support_per_fte","raw"
100690,53239.3714285714,2020,"avg_ft_faculty_salary","computed"
100690,14318.4610655738,2020,"core_expenses_per_fte","computed"
100690,0.0201138934331739,2020,"endowment_coverage_years","computed"
100690,288,2020,"endowment_per_fte","raw"
100690,3664,2020,"instruction_per_fte","raw"
100690,32,2020,"instructional_share","raw"
100690,358.233606557377,2020,"net_assets_per_fte","computed"
100690,4510.64959016393,2020,"operating_margin_ex_inv_return_per_fte","computed"
100690,9950,2020,"published_tuition_fees","raw"
100690,12.5128205128205,2020,"student_faculty_ratio","computed"
100690,1775,2020,"student_services_per_fte","raw"
100690,97.0076318704115,2020,"tuition_share_of_expenses","computed"
100690,1175,2021,"academic_support_per_fte","raw"
100690,54685,2021,"avg_ft_faculty_salary","computed"
100690,15917.4451754386,2021,"core_expenses_per_fte","computed"
100690,0.0199780804328253,2021,"endowment_coverage_years","computed"
100690,318,2021,"endowment_per_fte","raw"
100690,4381,2021,"instruction_per_fte","raw"
100690,33,2021,"instructional_share","raw"
100690,383.370614035088,2021,"net_assets_per_fte","computed"
100690,1495.47368421053,2021,"operating_margin_ex_inv_return_per_fte","computed"
100690,9950,2021,"published_tuition_fees","raw"
100690,12.3243243243243,2021,"student_faculty_ratio","computed"
100690,2010,2021,"student_services_per_fte","raw"
100690,88.5380778427068,2021,"tuition_share_of_expenses","computed"
100690,1604,2022,"academic_support_per_fte","raw"
100690,47286.59375,2022,"avg_ft_faculty_salary","computed"
100690,17741.5990220049,2022,"core_expenses_per_fte","computed"
100690,0.0231658938684296,2022,"endowment_coverage_years","computed"
100690,411,2022,"endowment_per_fte","raw"
100690,5927,2022,"instruction_per_fte","raw"
100690,35,2022,"instructional_share","raw"
100690,427.430317848411,2022,"net_assets_per_fte","computed"
100690,201.97185819071,2022,"operating_margin_ex_inv_return_per_fte","computed"
100690,9950,2022,"published_tuition_fees","raw"
100690,12.78125,2022,"student_faculty_ratio","computed"
100690,2571,2022,"student_services_per_fte","raw"
100690,95.7467248523148,2022,"tuition_share_of_expenses","computed"
100690,1557,2023,"academic_support_per_fte","raw"
100690,59656.2903225806,2023,"avg_ft_faculty_salary","computed"
100690,19891.8148148148,2023,"core_expenses_per_fte","computed"
100690,0.0182989839483577,2023,"endowment_coverage_years","computed"
100690,364,2023,"endowment_per_fte","raw"
100690,5671,2023,"instruction_per_fte","raw"
100690,34,2023,"instructional_share","raw"
100690,431.762962962963,2023,"net_assets_per_fte","computed"
100690,1273.90864197531,2023,"operating_margin_ex_inv_return_per_fte","computed"
100690,10470,2023,"published_tuition_fees","raw"
100690,13.0645161290323,2023,"student_faculty_ratio","computed"
100690,2550,2023,"student_services_per_fte","raw"
100690,72.2156330819116,2023,"tuition_share_of_expenses","computed"
100690,1350,2024,"academic_support_per_fte","raw"
100690,72648.8620689655,2024,"avg_ft_faculty_salary","computed"
100690,18178.8292682927,2024,"core_expenses_per_fte","computed"
100690,0.0181529841734958,2024,"endowment_coverage_years","computed"
100690,330,2024,"endowment_per_fte","raw"
100690,4918,2024,"instruction_per_fte","raw"
100690,35,2024,"instructional_share","raw"
100690,426.387804878049,2024,"net_assets_per_fte","computed"
100690,560.687707317073,2024,"operating_margin_ex_inv_return_per_fte","computed"
100690,7590,2024,"published_tuition_fees","raw"
100690,14.1379310344828,2024,"student_faculty_ratio","computed"
100690,2153,2024,"student_services_per_fte","raw"
100690,77.0401646514573,2024,"tuition_share_of_expenses","computed"
100706,1497,2020,"academic_support_per_fte","raw"
100706,90814.0963172804,2020,"avg_ft_faculty_salary","computed"
