"unitid","value","year","metric","var_type"
100654,11,2020,"doctoral_degrees_awarded","raw"
100654,11,2020,"grad_rate_4yr","raw"
100654,29,2020,"grad_rate_6yr","raw"
100654,16,2020,"grad_rate_men_vs_women","computed"
100654,-10,2020,"pell_grad_gap","computed"
100654,54,2020,"retention_rate","raw"
100654,24,2020,"transfer_out_rate","raw"
100654,7,2021,"doctoral_degrees_awarded","raw"
100654,11,2021,"grad_rate_4yr","raw"
100654,28,2021,"grad_rate_6yr","raw"
100654,9,2021,"grad_rate_men_vs_women","computed"
100654,-2,2021,"pell_grad_gap","computed"
100654,58,2021,"retention_rate","raw"
100654,34,2021,"transfer_out_rate","raw"
100654,9,2022,"doctoral_degrees_awarded","raw"
100654,13,2022,"grad_rate_4yr","raw"
100654,27,2022,"grad_rate_6yr","raw"
100654,13,2022,"grad_rate_men_vs_women","computed"
100654,-14,2022,"pell_grad_gap","computed"
100654,59,2022,"retention_rate","raw"
100654,34,2022,"transfer_out_rate","raw"
100654,3,2023,"doctoral_degrees_awarded","raw"
100654,15,2023,"grad_rate_4yr","raw"
100654,29,2023,"grad_rate_6yr","raw"
100654,11,2023,"grad_rate_men_vs_women","computed"
100654,0,2023,"pell_grad_gap","computed"
100654,64,2023,"retention_rate","raw"
100654,31,2023,"transfer_out_rate","raw"
100654,11,2024,"doctoral_degrees_awarded","raw"
100654,1.14,2024,"earnings_ratio","external"
100654,17,2024,"first_gen_grad_rate_6yr","external"
100654,12,2024,"grad_rate_4yr","raw"
100654,24,2024,"grad_rate_6yr","raw"
100654,7,2024,"grad_rate_men_vs_women","computed"
100654,42.9326288,2024,"loan_repayment_rate","external"
100654,40628,2024,"median_earnings_10yr","external"
100654,27851,2024,"median_earnings_6yr","external"
100654,17,2024,"n_grad_cip2_families","computed"
100654,53,2024,"n_grad_programs","computed"
100654,22,2024,"n_undergrad_cip2_families","computed"
100654,90,2024,"n_undergrad_programs","computed"
100654,-7,2024,"pell_grad_gap","computed"
100654,70,2024,"retention_rate","raw"
100654,33,2024,"transfer_out_rate","raw"
100663,151,2020,"doctoral_degrees_awarded","raw"
100663,38,2020,"grad_rate_4yr","raw"
100663,61,2020,"grad_rate_6yr","raw"
100663,9,2020,"grad_rate_men_vs_women","computed"
100663,-16,2020,"pell_grad_gap","computed"
100663,86,2020,"retention_rate","raw"
100663,20,2020,"transfer_out_rate","raw"
100663,149,2021,"doctoral_degrees_awarded","raw"
100663,42,2021,"grad_rate_4yr","raw"
100663,62,2021,"grad_rate_6yr","raw"
100663,7,2021,"grad_rate_men_vs_women","computed"
100663,-14,2021,"pell_grad_gap","computed"
100663,84,2021,"retention_rate","raw"
100663,18,2021,"transfer_out_rate","raw"
100663,166,2022,"doctoral_degrees_awarded","raw"
100663,44,2022,"grad_rate_4yr","raw"
100663,64,2022,"grad_rate_6yr","raw"
100663,8,2022,"grad_rate_men_vs_women","computed"
100663,-15,2022,"pell_grad_gap","computed"
100663,82,2022,"retention_rate","raw"
100663,15,2022,"transfer_out_rate","raw"
100663,163,2023,"doctoral_degrees_awarded","raw"
100663,43,2023,"grad_rate_4yr","raw"
100663,62,2023,"grad_rate_6yr","raw"
100663,9,2023,"grad_rate_men_vs_women","computed"
100663,-18,2023,"pell_grad_gap","computed"
100663,82,2023,"retention_rate","raw"
100663,20,2023,"transfer_out_rate","raw"
100663,166,2024,"doctoral_degrees_awarded","raw"
100663,1.47,2024,"earnings_ratio","external"
100663,44,2024,"grad_rate_4yr","raw"
100663,64,2024,"grad_rate_6yr","raw"
100663,8,2024,"grad_rate_men_vs_women","computed"
100663,61.82700794,2024,"loan_repayment_rate","external"
100663,54501,2024,"median_earnings_10yr","external"
100663,46572,2024,"median_earnings_6yr","external"
100663,19,2024,"n_grad_cip2_families","computed"
100663,171,2024,"n_grad_programs","computed"
100663,23,2024,"n_undergrad_cip2_families","computed"
100663,126,2024,"n_undergrad_programs","computed"
100663,-14,2024,"pell_grad_gap","computed"
100663,80,2024,"retention_rate","raw"
100663,19,2024,"transfer_out_rate","raw"
100690,4,2020,"doctoral_degrees_awarded","raw"
100690,25,2020,"grad_rate_4yr","raw"
100690,25,2020,"grad_rate_6yr","raw"
100690,-20,2020,"pell_grad_gap","computed"
100690,50,2020,"retention_rate","raw"
100690,12,2021,"doctoral_degrees_awarded","raw"
100690,67,2021,"grad_rate_4yr","raw"
100690,67,2021,"grad_rate_6yr","raw"
100690,0,2021,"grad_rate_men_vs_women","computed"
100690,56,2021,"transfer_out_rate","raw"
100690,20,2022,"doctoral_degrees_awarded","raw"
100690,50,2022,"grad_rate_4yr","raw"
100690,50,2022,"grad_rate_6yr","raw"
100690,100,2022,"grad_rate_men_vs_women","computed"
100690,-50,2022,"pell_grad_gap","computed"
100690,50,2022,"transfer_out_rate","raw"
100690,17,2023,"doctoral_degrees_awarded","raw"
100690,40,2023,"grad_rate_4yr","raw"
100690,40,2023,"grad_rate_6yr","raw"
100690,17,2023,"grad_rate_men_vs_women","computed"
100690,-57,2023,"pell_grad_gap","computed"
100690,20,2023,"transfer_out_rate","raw"
100690,20,2024,"doctoral_degrees_awarded","raw"
100690,100,2024,"grad_rate_4yr","raw"
100690,100,2024,"grad_rate_6yr","raw"
100690,43.90243902,2024,"loan_repayment_rate","external"
100690,37621,2024,"median_earnings_10yr","external"
100690,30377,2024,"median_earnings_6yr","external"
100690,7,2024,"n_grad_cip2_families","computed"
100690,27,2024,"n_grad_programs","computed"
100690,4,2024,"n_undergrad_cip2_families","computed"
100690,16,2024,"n_undergrad_programs","computed"
100690,40,2024,"pell_grad_gap","computed"
100706,50,2020,"doctoral_degrees_awarded","raw"
100706,31,2020,"grad_rate_4yr","raw"
100706,57,2020,"grad_rate_6yr","raw"
100706,5,2020,"grad_rate_men_vs_women","computed"
100706,-14,2020,"pell_grad_gap","computed"
100706,82,2020,"retention_rate","raw"
100706,22,2020,"transfer_out_rate","raw"
100706,40,2021,"doctoral_degrees_awarded","raw"
100706,35,2021,"grad_rate_4yr","raw"
100706,61,2021,"grad_rate_6yr","raw"
100706,12,2021,"grad_rate_men_vs_women","computed"
100706,-24,2021,"pell_grad_gap","computed"
100706,79,2021,"retention_rate","raw"
100706,24,2021,"transfer_out_rate","raw"
100706,41,2022,"doctoral_degrees_awarded","raw"
100706,39,2022,"grad_rate_4yr","raw"
100706,63,2022,"grad_rate_6yr","raw"
100706,10,2022,"grad_rate_men_vs_women","computed"
100706,-11,2022,"pell_grad_gap","computed"
100706,80,2022,"retention_rate","raw"
100706,21,2022,"transfer_out_rate","raw"
100706,36,2023,"doctoral_degrees_awarded","raw"
100706,41,2023,"grad_rate_4yr","raw"
100706,62,2023,"grad_rate_6yr","raw"
100706,10,2023,"grad_rate_men_vs_women","computed"
100706,-19,2023,"pell_grad_gap","computed"
100706,81,2023,"retention_rate","raw"
100706,20,2023,"transfer_out_rate","raw"
100706,45,2024,"doctoral_degrees_awarded","raw"
100706,1.93,2024,"earnings_ratio","external"
100706,42,2024,"grad_rate_4yr","raw"
100706,64,2024,"grad_rate_6yr","raw"
100706,3,2024,"grad_rate_men_vs_women","computed"
100706,68.0887372,2024,"loan_repayment_rate","external"
100706,61767,2024,"median_earnings_10yr","external"
100706,55610,2024,"median_earnings_6yr","external"
100706,15,2024,"n_grad_cip2_families","computed"
100706,80,2024,"n_grad_programs","computed"
100706,21,2024,"n_undergrad_cip2_families","computed"
100706,99,2024,"n_undergrad_programs","computed"
100706,-16,2024,"pell_grad_gap","computed"
100706,84,2024,"retention_rate","raw"
100706,19,2024,"transfer_out_rate","raw"
100724,9,2020,"doctoral_degrees_awarded","raw"
100724,15,2020,"grad_rate_4yr","raw"
100724,32,2020,"grad_rate_6yr","raw"
100724,14,2020,"grad_rate_men_vs_women","computed"
100724,-9,2020,"pell_grad_gap","computed"
100724,62,2020,"retention_rate","raw"
100724,33,2020,"transfer_out_rate","raw"
100724,14,2021,"doctoral_degrees_awarded","raw"
100724,10,2021,"grad_rate_4yr","raw"
100724,28,2021,"grad_rate_6yr","raw"
100724,9,2021,"grad_rate_men_vs_women","computed"
100724,-14,2021,"pell_grad_gap","computed"
100724,64,2021,"retention_rate","raw"
100724,36,2021,"transfer_out_rate","raw"
100724,2,2022,"doctoral_degrees_awarded","raw"
100724,14,2022,"grad_rate_4yr","raw"
100724,28,2022,"grad_rate_6yr","raw"
100724,14,2022,"grad_rate_men_vs_women","computed"
100724,-6,2022,"pell_grad_gap","computed"
100724,60,2022,"retention_rate","raw"
100724,35,2022,"transfer_out_rate","raw"
100724,4,2023,"doctoral_degrees_awarded","raw"
100724,13,2023,"grad_rate_4yr","raw"
100724,30,2023,"grad_rate_6yr","raw"
100724,10,2023,"grad_rate_men_vs_women","computed"
100724,-8,2023,"pell_grad_gap","computed"
100724,60,2023,"retention_rate","raw"
100724,33,2023,"transfer_out_rate","raw"
100724,7,2024,"doctoral_degrees_awarded","raw"
100724,1.28,2024,"earnings_ratio","external"
100724,15,2024,"grad_rate_4yr","raw"
100724,30,2024,"grad_rate_6yr","raw"
100724,11,2024,"grad_rate_men_vs_women","computed"
100724,36.60377358,2024,"loan_repayment_rate","external"
100724,34502,2024,"median_earnings_10yr","external"
100724,27453,2024,"median_earnings_6yr","external"
100724,8,2024,"n_grad_cip2_families","computed"
100724,41,2024,"n_grad_programs","computed"
100724,18,2024,"n_undergrad_cip2_families","computed"
100724,77,2024,"n_undergrad_programs","computed"
100724,-4,2024,"pell_grad_gap","computed"
100724,70,2024,"retention_rate","raw"
100724,35,2024,"transfer_out_rate","raw"
100751,193,2020,"doctoral_degrees_awarded","raw"
100751,52,2020,"grad_rate_4yr","raw"
100751,72,2020,"grad_rate_6yr","raw"
100751,4,2020,"grad_rate_men_vs_women","computed"
100751,-17,2020,"pell_grad_gap","computed"
100751,87,2020,"retention_rate","raw"
100751,20,2020,"transfer_out_rate","raw"
100751,203,2021,"doctoral_degrees_awarded","raw"
100751,53,2021,"grad_rate_4yr","raw"
100751,72,2021,"grad_rate_6yr","raw"
100751,4,2021,"grad_rate_men_vs_women","computed"
100751,-19,2021,"pell_grad_gap","computed"
100751,89,2021,"retention_rate","raw"
100751,19,2021,"transfer_out_rate","raw"
100751,215,2022,"doctoral_degrees_awarded","raw"
100751,55,2022,"grad_rate_4yr","raw"
100751,73,2022,"grad_rate_6yr","raw"
100751,4,2022,"grad_rate_men_vs_women","computed"
100751,-20,2022,"pell_grad_gap","computed"
100751,87,2022,"retention_rate","raw"
100751,19,2022,"transfer_out_rate","raw"
100751,245,2023,"doctoral_degrees_awarded","raw"
100751,56,2023,"grad_rate_4yr","raw"
100751,74,2023,"grad_rate_6yr","raw"
100751,5,2023,"grad_rate_men_vs_women","computed"
100751,-22,2023,"pell_grad_gap","computed"
100751,86,2023,"retention_rate","raw"
100751,18,2023,"transfer_out_rate","raw"
100751,235,2024,"doctoral_degrees_awarded","raw"
100751,1.59,2024,"earnings_ratio","external"
100751,56,2024,"first_gen_grad_rate_6yr","external"
100751,57,2024,"grad_rate_4yr","raw"
100751,73,2024,"grad_rate_6yr","raw"
100751,6,2024,"grad_rate_men_vs_women","computed"
100751,71.18012422,2024,"loan_repayment_rate","external"
100751,59221,2024,"median_earnings_10yr","external"
100751,52233,2024,"median_earnings_6yr","external"
100751,25,2024,"n_grad_cip2_families","computed"
100751,177,2024,"n_grad_programs","computed"
100751,26,2024,"n_undergrad_cip2_families","computed"
100751,169,2024,"n_undergrad_programs","computed"
100751,-17,2024,"pell_grad_gap","computed"
100751,89,2024,"retention_rate","raw"
100751,17,2024,"transfer_out_rate","raw"
100812,0,2020,"doctoral_degrees_awarded","raw"
100812,0,2021,"doctoral_degrees_awarded","raw"
100812,0,2022,"doctoral_degrees_awarded","raw"
100812,0,2023,"doctoral_degrees_awarded","raw"
100812,0,2024,"doctoral_degrees_awarded","raw"
100812,60.19845645,2024,"loan_repayment_rate","external"
100812,50273,2024,"median_earnings_10yr","external"
100812,46266,2024,"median_earnings_6yr","external"
100812,5,2024,"n_grad_cip2_families","computed"
100812,20,2024,"n_grad_programs","computed"
