"unitid","athletics_body","athletics_division","athletics_conference","has_football","athletics_classification_raw","athletics_classification_code","athletics_classification_other","athletics_sports_list"
100654,"NCAA","D1","Southwestern Athletic Conference",TRUE,"NCAA Division I-FCS",2,NA,"Baseball; Basketball; Bowling; Football; Golf; Soccer; Softball; Tennis; Track and Field and Cross Country (combined); Volleyball"
100663,"NCAA","D1","American Conference",TRUE,"NCAA Division I-FBS",1,NA,"Baseball; Basketball; Beach Volleyball; Bowling; Football; Golf; Rifle; Soccer; Softball; Tennis; Track and Field and Cross Country (combined); Volleyball"
100706,"NCAA","D2","Gulf South Conference",FALSE,"NCAA Division II without football",5,NA,"Baseball; Basketball; Lacrosse; Soccer; Softball; Track and Field and Cross Country (combined); Volleyball"
100724,"NCAA","D1","Southwestern Athletic Conference",TRUE,"NCAA Division I-FCS",2,NA,"Baseball; Basketball; Bowling; Football; Golf; Soccer; Softball; Tennis; Track and Field and Cross Country (combined); Volleyball"
100751,"NCAA","D1","Southeastern Conference",TRUE,"NCAA Division I-FBS",1,NA,"Baseball; Basketball; Football; Golf; Gymnastics; Rowing; Soccer; Softball; Swimming and Diving (combined); Tennis; Track and Field and Cross Country (combined); Volleyball"
100830,"NCAA","D2","Gulf South Conference",FALSE,"NCAA Division II without football",5,NA,"Baseball; Basketball; Cross Country; Golf; Soccer; Softball; Tennis; Volleyball"
100858,"NCAA","D1","Southeastern Conference",TRUE,"NCAA Division I-FBS",1,NA,"Baseball; Basketball; Equestrian; Football; Golf; Gymnastics; Soccer; Softball; Swimming and Diving (combined); Tennis; Track and Field and Cross Country (combined); Volleyball"
101189,"NAIA","NAIA","Southern States Athletic Conference",TRUE,"NAIA Division I",9,NA,"Baseball; Basketball; Cross Country; Football; Golf; Soccer; Softball; Volleyball"
101435,"NCAA","D3","Collegiate Conference of the South",TRUE,"NCAA Division III with football",6,NA,"Baseball; Basketball; Beach Volleyball; Cross Country; Football; Golf; Lacrosse; Other Sports; Soccer; Softball; Tennis; Track and Field (Outdoor); Volleyball; Wrestling"
101480,"NCAA","D1","Conference USA",TRUE,"NCAA Division I-FBS",1,NA,"Baseball; Basketball; Beach Volleyball; Bowling; Cross Country; Football; Golf; Rifle; Soccer; Softball; Tennis; Track and Field (Indoor); Track and Field (Outdoor); Volleyball"
101587,"NCAA","D2","Gulf South Conference",TRUE,"NCAA Division II with football",4,NA,"Baseball; Basketball; Football; Rodeo; Soccer; Softball; Tennis; Track and Field and Cross Country (combined); Volleyball"
101675,"NCAA","D2","Southern Intercollegiate Athletic Conference",TRUE,"NCAA Division II with football",4,NA,"Baseball; Basketball; Cross Country; Football; Golf; Softball; Track and Field (Outdoor); Volleyball"
101693,"NAIA","NAIA","Southern States Athletic Conference",FALSE,"NAIA Division I",9,NA,"Baseball; Basketball; Beach Volleyball; Bowling; Cross Country; Golf; Other Sports; Soccer; Softball; Tennis; Track and Field (Indoor); Track and Field (Outdoor); Volleyball"
101709,"NCAA","D2","Gulf South Conference",FALSE,"NCAA Division II without football",5,NA,"Baseball; Basketball; Golf; Lacrosse; Other Sports; Soccer; Softball; Swimming; Tennis; Track and Field and Cross Country (combined); Volleyball; Wrestling"
101879,"NCAA","D1","Atlantic Sun Conference",TRUE,"NCAA Division I-FCS",2,NA,"Baseball; Basketball; Beach Volleyball; Cross Country; Football; Golf; Soccer; Softball; Tennis; Volleyball"
101912,"NAIA","NAIA","HBCU Athletic Conference",FALSE,"NAIA Division I",9,NA,"Baseball; Basketball; Soccer; Softball; Volleyball"
102049,"NCAA","D1","Southern Conference",TRUE,"NCAA Division I-FCS",2,NA,"Baseball; Basketball; Football; Golf; Soccer; Softball; Tennis; Track and Field and Cross Country (combined); Volleyball"
